,UBIGEO,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21,P2A1$1,P2A1$2,P2A1$3,P2A1$4,P507,P207,P208A,P301A,Region,REGION
21744,110101,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3,2,4,4,8,1,21,9,11,ICA
21745,110101,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3,3,4,4,4,2,46,6,11,ICA
21746,110101,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.5,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3,3,4,4,8,2,65,6,11,ICA
21747,110101,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4,4,3,3,2,2,47,4,11,ICA
21748,110101,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4,4,3,3,2,2,42,5,11,ICA
21749,110102,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3,4,4,3,8,1,21,9,11,ICA
21750,110102,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3,3,4,4,2,2,20,9,11,ICA
21751,110102,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2,2,2,2,8,2,22,6,11,ICA
21752,110102,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2,2,2,2,3,1,62,9,11,ICA
21753,110102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,8,1,66,5,11,ICA
